학교명,지역,학교 학생 수,동질화 지수(H_m),P_special,I_SCU,H_path,H_job,H_ppc,1위 업종,R_net,,,
대구체육고등학교,북구,203,1.164930328,0,0.969718,0.329245,0.3493,0.4321,,0,1.019519927,1.019519927,0.7531589663
입석중학교,동구,185,1.164165749,2.162162,0.955418,0.149647,0.3499,0.4321,,0.0488997555,0.9918157952,0.9918157952,0.7313407338
대구성곡초등학교,달서구,287,1.163456728,4.878049,0.957465,1,0.3515,0.4321,,-3.135888502,1.197890923,1.197890923,0.900718257
대구진월초등학교,달서구,287,1.161546395,5.574913,0.955143,1,0.3515,0.4321,,-8.362369338,1.196592493,1.196592493,0.8998197049
대평중학교,서구,157,1.160537825,5.095541,0.898456,0.245127,0.3622,0.4321,,0.9982638889,0.9954235856,0.9954235856,0.7293000606
수성중학교,수성구,190,1.159836142,6.315789,0.958619,0.135263,0.3313,0.4693,기타 개인 서비스업 복합코드,-0.21595357,0.9906278556,0.9906278556,0.7351649889
대구명덕초등학교,중구,300,1.15948186,4,0.963977,1,0.3322,0.2302,스포츠 서비스업,4.333333333,1.160863913,1.160863913,0.8635211052
대구파동초등학교,수성구,343,1.159363858,4.664723,0.964122,1,0.3313,0.4693,기타 개인 서비스업 복합코드,4.664723032,1.106785108,1.106785108,0.8643253056
대구서도초등학교,서구,265,1.157736448,3.018868,0.905379,1,0.3622,0.4321,,-3.773584906,1.20732242,1.20732242,0.8988666156
대구호산초등학교,달서구,290,1.156675276,5.517241,0.955335,1,0.3515,0.4321,,-7.24137931,1.191519272,1.191519272,0.8976118909
대구동산초등학교,수성구,297,1.156533012,4.040404,0.966203,1,0.3313,0.4693,기타 개인 서비스업 복합코드,-2.356902357,1.187860298,1.187860298,0.9004031939
대구청림초등학교,수성구,294,1.155962444,6.122449,0.959263,1,0.3313,0.4693,기타 개인 서비스업 복합코드,-5.102040816,1.189229959,1.189229959,0.9000375359
대구불로초등학교,동구,286,1.155794899,4.895105,0.946308,1,0.3499,0.4321,,-3.146853147,1.193246195,1.193246195,0.8969420784
대구매동초등학교,수성구,303,1.155454529,0.660066,0.977471,1,0.3313,0.4693,기타 개인 서비스업 복합코드,-1.98019802,1.183622746,1.183622746,0.9001208297
대구군위초등학교,군위군,239,1.151022598,0,0.88137,0.693446,0.329,0.4321,,8.786610879,1.052538595,1.052538595,0.7825934809
대구청라중학교,서구,174,1.148499305,1.149425,0.91161,0.197984,0.3622,0.4321,,0.9982638889,0.9762792226,0.9762792226,0.7207437042
경암중학교,달서구,218,1.146844873,0,0.973726,0.187137,0.3515,0.4321,,0.4379562044,0.9719652765,0.9719652765,0.7264720721
대구화동초등학교,달성군,290,1.14564276,4.137931,0.942178,1,0.3487,0.4321,,-4.482758621,1.183979871,1.183979871,0.8921589786
경일중학교,서구,152,1.143903461,7.894737,0.889126,0,0.3622,0.4321,,0.9982638889,0.9624061319,0.9624061319,0.7079723147
이곡중학교,달서구,223,1.143427649,1.793722,0.967746,0.25134,0.3515,0.4321,,0.8227848101,0.9727164364,0.9727164364,0.728182978
대구서부초등학교,서구,270,1.139611133,6.666667,0.893219,1,0.3622,0.4321,,-1.851851852,1.192157988,1.192157988,0.8905458104
대구비산초등학교,서구,272,1.138547643,5.882353,0.895834,1,0.3622,0.4321,,-2.813852814,1.190236728,1.190236728,0.8900439817
공산중학교,동구,215,1.13356211,0,0.962626,0.224388,0.3499,0.4321,,0.0488997555,0.9728829499,0.9728829499,0.7261588653
대구동성초등학교,수성구,906,1.133370816,1.766004,0.973785,1,0.3313,0.4693,기타 개인 서비스업 복합코드,8.719646799,0.8552136319,0.9745944736,1.075055618
대구소프트웨어마이스터고등학교,달성군,215,1.126484889,0,0.955971,0.271607,0.3487,0.4321,,0,0.9773853059,0.9773853059,0.7289240554
